image_id,label
Balcony/00002170.jpg,Balcony
Balcony/00004296.jpg,Balcony
Balcony/00002129.jpg,Balcony
Balcony/00001760.jpg,Balcony
Balcony/00001158.jpg,Balcony
Balcony/00001981.jpg,Balcony
Balcony/00000503.jpg,Balcony
Balcony/00000888.jpg,Balcony
Balcony/00001504.jpg,Balcony
Balcony/00004975.jpg,Balcony
Balcony/00001965.jpg,Balcony
Balcony/00003215.jpg,Balcony
Balcony/00001491.jpg,Balcony
Balcony/00001985.jpg,Balcony
Balcony/00002145.jpg,Balcony
Balcony/00001915.jpg,Balcony
Balcony/00000399.jpg,Balcony
Balcony/00000390.jpg,Balcony
Balcony/00003720.jpg,Balcony
Balcony/00000601.jpg,Balcony
Balcony/00003822.jpg,Balcony
Balcony/00000797.jpg,Balcony
Balcony/00001179.jpg,Balcony
Balcony/00003048.jpg,Balcony
Balcony/00003437.jpg,Balcony
Balcony/00000030.jpg,Balcony
Balcony/00000848.jpg,Balcony
Balcony/00000567.jpg,Balcony
Balcony/00003682.jpg,Balcony
Balcony/00003812.jpg,Balcony
Balcony/00004669.jpg,Balcony
Balcony/00000686.jpg,Balcony
Balcony/00000961.jpg,Balcony
Balcony/00003471.jpg,Balcony
Balcony/00001371.jpg,Balcony
Balcony/00000042.jpg,Balcony
Balcony/00003199.jpg,Balcony
Balcony/00004294.jpg,Balcony
Balcony/00003012.jpg,Balcony
Balcony/00003951.jpg,Balcony
Balcony/00001867.jpg,Balcony
Balcony/00002921.jpg,Balcony
Balcony/00002396.jpg,Balcony
Balcony/00002436.jpg,Balcony
Balcony/00000998.jpg,Balcony
Balcony/00000080.jpg,Balcony
Balcony/00004418.jpg,Balcony
Balcony/00004732.jpg,Balcony
Balcony/00002580.jpg,Balcony
Balcony/00004902.jpg,Balcony
Balcony/00004213.jpg,Balcony
Balcony/00002708.jpg,Balcony
Balcony/00001267.jpg,Balcony
Balcony/Places365_val_00020516.jpg,Balcony
Balcony/00004723.jpg,Balcony
Balcony/00003763.jpg,Balcony
Balcony/00000027.jpg,Balcony
Balcony/00003916.jpg,Balcony
Balcony/00000127.jpg,Balcony
Balcony/00002201.jpg,Balcony
Balcony/00002378.jpg,Balcony
Balcony/00001266.jpg,Balcony
Balcony/00003127.jpg,Balcony
Balcony/Places365_val_00033708.jpg,Balcony
Balcony/00004364.jpg,Balcony
Balcony/00001310.jpg,Balcony
Balcony/00004189.jpg,Balcony
Balcony/00004420.jpg,Balcony
Balcony/00004428.jpg,Balcony
Balcony/00002963.jpg,Balcony
Balcony/00001090.jpg,Balcony
Balcony/00004319.jpg,Balcony
Balcony/00003030.jpg,Balcony
Balcony/00002748.jpg,Balcony
Balcony/00004407.jpg,Balcony
Balcony/00000113.jpg,Balcony
Balcony/00001977.jpg,Balcony
Balcony/00003620.jpg,Balcony
Balcony/00001419.jpg,Balcony
Balcony/00004620.jpg,Balcony
Balcony/00002266.jpg,Balcony
Balcony/00004416.jpg,Balcony
Balcony/00001144.jpg,Balcony
Balcony/00002656.jpg,Balcony
Balcony/00003936.jpg,Balcony
Balcony/00003161.jpg,Balcony
Balcony/00002449.jpg,Balcony
Balcony/00001120.jpg,Balcony
Balcony/00004115.jpg,Balcony
Balcony/00002400.jpg,Balcony
Balcony/00003299.jpg,Balcony
Balcony/00003469.jpg,Balcony
Balcony/00004637.jpg,Balcony
Balcony/00003379.jpg,Balcony
Balcony/00000862.jpg,Balcony
Balcony/00001704.jpg,Balcony
Balcony/00002069.jpg,Balcony
Balcony/00004628.jpg,Balcony
Balcony/00004368.jpg,Balcony
Balcony/00004322.jpg,Balcony
Balcony/00002430.jpg,Balcony
Balcony/00003697.jpg,Balcony
Balcony/00003140.jpg,Balcony
Balcony/00000335.jpg,Balcony
Balcony/00004991.jpg,Balcony
Balcony/00001431.jpg,Balcony
